response,intent
indeterminate,negative
risky,negative
I am feeling confident,positive
 I am feeling hyped,positive
sharp,positive
luxury,positive
hectic,negative
educated,positive
cost-effective,positive
god-send,positive
I am feeling magnificient,positive
I am feeling annoyed,negative
unscrupulously,negative
sensational,positive
advantageous,positive
jeeringly,negative
complaining,negative
diligently,positive
puzzlement,negative
skulk,negative
screwed,negative
haste,negative
inaccuracy,negative
loner,negative
I cannot complain about the day,positive
attraction,positive
fallout,negative
rewarding,positive
neglected,negative
inflationary,negative
gracious,positive
carelessness,negative
wonderfully,positive
benefit,positive
lunatic,negative
calamity,negative
puzzled,negative
imprecisely,negative
humorously,positive
ruffian,negative
2-faced,negative
ho-hum,negative
impaired,negative
terribleness,negative
bondage,negative
killing,negative
viciously,negative
flicker,negative
unfamiliar,negative
dexterous,positive
drunken,negative
nonexistent,negative
shatter,negative
inglorious,negative
bungler,negative
overtook,positive
feisty,positive
unfazed,positive
unwavering,positive
empathy,positive
dismayingly,negative
indelicate,negative
I am feeling healthy,positive
hopelessness,negative
massacres,negative
pepping,positive
ingenious,positive
 I was harrased in public placces today,negative
gracelessly,negative
lacking,negative
I can't make anyone happy because I am not charming and wherever I go I just bring badluck,negative
wobble,negative
deform,negative
woeful,negative
confess,negative
advantageously,positive
dignity,positive
strident,negative
bemoan,negative
striking,positive
precipitous,negative
delightfulness,positive
hell-bent,negative
admiringly,positive
lies,negative
hazy,negative
skinny,negative
accolades,positive
mirage,negative
loved,positive
agreeable,positive
disappointments,negative
limited,negative
slowest,negative
tainted,negative
proficiently,positive
infallible,positive
proven,positive
I want to die,negative
tenaciously,positive
pettifog,negative
commitment,positive
limitation,negative
romantically,positive
staid,negative
struggles,negative
cuteness,positive
distains,negative
dominate,positive
friendly,positive
swollen,negative
dismal,negative
stingingly,negative
engulf,negative
unresponsive,negative
hedge,negative
poorest,negative
passive,negative
debilitating,negative
grisly,negative
displeased,negative
satisfy,positive
static,negative
siege,negative
knave,negative
lull,negative
breakdown,negative
revel,positive
I feel troubled,negative
skittish,negative
fanaticism,negative
abyss,negative
gangster,negative
prevaricate,negative
unintelligible,negative
stun,negative
inefficiency,negative
racist,negative
upliftment,positive
costly,negative
allegation,negative
impetuously,negative
strain,negative
delusional,negative
frightful,negative
abomination,negative
guilt,negative
yawn,negative
repugnant,negative
travesties,negative
friction,negative
doubtfully,negative
stately,positive
I am so proud of myself,positive
success,positive
pokey,negative
wimpy,negative
twisted,negative
hardships,negative
imbalance,negative
dazzling,positive
jubilate,positive
overthrows,negative
unauthentic,negative
lividly,negative
first-in-class,positive
atrocious,negative
startle,negative
concern,negative
bombastic,negative
cunts,negative
intolerable,negative
irrecoverableness,negative
juddering,negative
inopportune,negative
I am feeling Motivated,positive
beggar,negative
incapably,negative
downhearted,negative
advocated,positive
refunded,positive
implode,negative
tyranny,negative
I am feeling prosperous,positive
encouragement,positive
tarnished,negative
extol,positive
backwardness,negative
fresher,positive
sloooooooooooooow,negative
uncompromising,negative
deficient,negative
Today was a cheerful day due to the fact that all of close friends came to surprise me on my birthday,positive
exhausted,negative
faulty,negative
futile,negative
ultimatum,negative
repudiate,negative
indecently,negative
privilege,positive
culpable,negative
irredeemable,negative
accommodative,positive
easy-to-use,positive
rejects,negative
gloriously,positive
arrogance,negative
tangled,negative
I am feeling victimized,negative
overblown,negative
smash,negative
na?ve,negative
terror-genic,negative
unacceptably,negative
mocks,negative
I am feeling purposeful,positive
despondency,negative
adulate,positive
consummate,positive
stress,negative
perverts,negative
fell,negative
dying,negative
ridiculously,negative
Today I had an accident because of a stupid man,negative
vehement,negative
nefariously,negative
I am feeling down,negative
scowl,negative
incredulously,negative
zealously,negative
wretch,negative
I am feeling ridiculous,negative
vent,negative
I broke my with love of my life over phone,negative
outburst,negative
reverence,positive
gallantly,positive
dignify,positive
denies,negative
conspicuous,negative
stagnate,negative
demonizes,negative
crooks,negative
excallent,positive
impinge,negative
unviewable,negative
hardheaded,negative
negate,negative
demonizing,negative
gruesomely,negative
adamantly,negative
pitilessly,negative
dismissive,negative
I am feeling vicious,negative
condescending,negative
skepticism,negative
disobedient,negative
rectify,positive
longing,negative
inaudible,negative
bowdlerize,negative
militancy,negative
affirmative,positive
attentive,positive
painless,positive
betray,negative
damaging,negative
noise,negative
debaucher,negative
delay,negative
defamatory,negative
downheartedly,negative
dismissively,negative
diss,negative
inconsequent,negative
inhumanity,negative
contrive,negative
difficult,negative
deploringly,negative
scream,negative
crueler,negative
entangle,negative
treasure,positive
gripe,negative
fallaciously,negative
capitulate,negative
crude,negative
contaminating,negative
effigy,negative
havoc,negative
prejudice,negative
bumpy,negative
ingrate,negative
dents,negative
proving,positive
rigid,negative
concessions,negative
unconstitutional,negative
unexpectedly,negative
mournfully,negative
I am feeling trapped,negative
powerful,positive
invader,negative
I am feeling compassionate,positive
sickly,negative
unqualified,negative
critical,negative
gold,positive
I am feeling spiritual,positive
obsessiveness,negative
ghetto,negative
dislocated,negative
subversion,negative
astonishing,positive
blasphemous,negative
contrived,negative
nastiness,negative
I did the best i could do,positive
clunky,negative
self-satisfaction,positive
golden,positive
resistance,negative
lumpy,negative
muscle-flexing,negative
I cannot do it,negative
catchy,positive
cure-all,positive
delicacy,positive
raptureously,positive
aborted,negative
leak,negative
domineering,negative
quarrels,negative
ruts,negative
apprehensive,negative
defect,negative
disgusted,negative
incompatability,negative
impeccably,positive
fracture,negative
sore,negative
sugar-coat,negative
discord,negative
cushy,positive
I am feeling good,positive
adaptive,positive
slur,negative
draining,negative
solicitous,positive
indiscernible,negative
beneficially,positive
malevolently,negative
gush,positive
bothering,negative
jittery,negative
exultant,positive
indiscreetly,negative
trashy,negative
mispronounced,negative
cravenly,negative
regressive,negative
tenderness,negative
lazy,negative
deject,negative
peaceful,positive
irrelevance,negative
disgustful,negative
horrendous,negative
valuable,positive
snags,negative
contradictory,negative
euphoric,positive
outshine,positive
bullyingly,negative
My pet died today,negative
I am furious at my neighbour's dog as it barks all night long which disturbs my sleep,negative
upgradable,positive
languorously,negative
provoke,negative
fiendish,negative
unprove,negative
shipwreck,negative
smear,negative
rectifying,positive
overtake,positive
despotic,negative
suppress,negative
pessimistically,negative
drop-out,negative
promises,positive
I had very bad day as my boss did not give me the promotion of which I was the biggest contender,negative
flattering,positive
I am not feeling nice,negative
lawbreaker,negative
emphatically,negative
deterioration,negative
far-fetched,negative
impulsively,negative
hooray,positive
wedge,negative
propagandize,negative
revolting,negative
virulent,negative
safely,positive
stability,positive
skill,positive
compact,positive
led,positive
offensive,negative
cursed,negative
poetic,positive
I am a disappointment to my parents as I have never caused them happiness,negative
savages,negative
I am feeling upset,negative
qualm,negative
mischievous,negative
pratfall,negative
steady,positive
panoramic,positive
inarticulate,negative
distract,negative
ached,negative
fastidious,negative
variety,positive
sinking,negative
insults,negative
gentlest,positive
subservience,negative
ail,negative
I am feeling commendable,positive
expired,negative
peevish,negative
lead,positive
belligerently,negative
sunder,negative
peeve,negative
I am so awesome that I can finish 3 movies straight without getting bored,positive
sober,negative
continuity,positive
ill-mannered,negative
unsophisticated,negative
marvel,positive
rollercoaster,negative
elatedly,positive
elegant,positive
I am feeling grateful,positive
laconic,negative
acumen,positive
obstructed,negative
taint,negative
shimmering,positive
propitious,positive
I am feeling hated,negative
hated,negative
fevers,negative
downer,negative
attack,negative
cowardly,negative
goof,negative
adulteration,negative
gnawing,negative
frigging,negative
chilly,negative
cool,positive
heartbreaking,negative
inaction,negative
sufficient,positive
besmirch,negative
asinininity,negative
unsettled,negative
enchantingly,positive
I am thrilled about the new girl in class because she is from the same city from where I am and we knew each other in childhood,positive
contravene,negative
diabolic,negative
troublingly,negative
wobbled,negative
anti-proliferation,negative
slog,negative
accusingly,negative
loopholes,negative
today I was astonished by the fact that I was gonna become the president of the group,positive
astonishingly,positive
dope,negative
swiftness,positive
slowly,negative
vulgar,negative
unaccessible,negative
scrap,negative
pauper,negative
negation,negative
miserly,negative
indeterminable,negative
gimmicked,negative
astounded,positive
rascal,negative
favored,positive
My parents got a new T.V.,positive
graft,negative
excites,positive
intelligence,positive
offending,negative
brutalities,negative
remorse,negative
rockstar,positive
dissonant,negative
impurity,negative
selfishness,negative
apologist,negative
unparalleled,positive
cheaper,positive
enslave,negative
expulse,negative
snobby,negative
winnable,positive
My boss loved my work,positive
desultory,negative
discomfort,negative
disabled,negative
horrify,negative
commend,positive
polemize,negative
prudently,positive
destroy,negative
bulky,negative
I am feeling cheerful,positive
spookily,negative
suave,positive
exceled,positive
I was hurt when I got to know that my bestfriend speaks bad about me to others,negative
slug,negative
meanness,negative
tempest,negative
misunderstand,negative
adulterate,negative
fury,negative
steeply,negative
sumptuous,positive
wound,negative
accidental,negative
top-notch,positive
illegally,negative
elevate,positive
swankier,positive
I am feeling manipulative,negative
fallacy,negative
procrastinate,negative
remarkably,positive
mope,negative
prudent,positive
friendliness,positive
scratchy,negative
envy,positive
assult,negative
fancinating,positive
beloved,positive
felon,negative
antipathy,negative
scarily,negative
snare,negative
prosecute,negative
jerky,negative
dragged,negative
spectacularly,positive
disappointed,negative
rants,negative
alluring,positive
harasses,negative
fatalistic,negative
secretive,negative
intransigent,negative
ill-fated,negative
beautifully,positive
mendacious,negative
navigable,positive
tragically,negative
zippy,positive
stutters,negative
prideful,negative
cannibalize,negative
pleasing,positive
uncomfortably,negative
well-backlit,positive
contradiction,negative
I got my results today and it was good,positive
handsome,positive
shameful,negative
irreparable,negative
pamperedness,positive
writhe,negative
betrayer,negative
disvalue,negative
discouragement,negative
haggard,negative
improving,positive
charitable,positive
recommendation,positive
I am feeling high,positive
quash,negative
enchanting,positive
prestige,positive
I had a fun time today,positive
disgraceful,negative
illegitimate,negative
deplore,negative
gained,positive
disconsolately,negative
audaciousness,negative
finely,positive
stormy,negative
banalize,negative
infuriate,negative
fame,positive
precipitate,negative
I make everyone's life miserable as no one likes me and I feel detachhed from them,negative
ungovernable,negative
faze,negative
dissatisfies,negative
disarm,negative
stampede,negative
abolish,negative
rebellious,negative
job-killing,negative
dishonorablely,negative
sharper,positive
rival,negative
screwed-up,negative
concise,positive
battering,negative
darker,negative
amusing,positive
marvelousness,positive
gumption,positive
shamefulness,negative
neglect,negative
slap,negative
nebulous,negative
inexorable,negative
effortless,positive
appreciated,positive
sufferer,negative
cringed,negative
jollify,positive
misaligns,negative
strut,negative
rage,negative
revelation,positive
imminence,negative
opponent,negative
snagging,negative
I had the best day ever,positive
supporter,positive
primitive,negative
outstandingly,positive
adore,positive
phenomenal,positive
quaint,positive
smelled,negative
cash-strapped,negative
insupportable,negative
effusiveness,positive
servitude,negative
healthy,positive
dubious,negative
lie,negative
impropriety,negative
recover,positive
benifits,positive
compatible,positive
hothead,negative
invincibility,positive
defiance,negative
ingenuous,positive
sickening,negative
contribution,positive
uneasily,negative
dehumanize,negative
deplete,negative
messed,negative
satisfies,positive
villify,negative
immorality,negative
mangle,negative
keen,positive
unnervingly,negative
mischief,negative
comfortably,positive
clever,positive
first-class,positive
fortunately,positive
allege,negative
slowed,negative
decisive,positive
lewdness,negative
renounce,negative
hegemony,negative
disrepute,negative
satisfying,positive
misdirection,negative
awesomely,positive
I am feeling demotivated,negative
I got a new computer,positive
hallowed,positive
disinclined,negative
destabilisation,negative
travesty,negative
hack,negative
intractable,negative
vengeful,negative
deluded,negative
The world is harsh to me and I do not know the reason for that. I have nit disturbed anyone ever,negative
infuriating,negative
discourteous,negative
inventive,positive
worn,negative
irreplaceable,positive
squash,negative
intimidatingly,negative
chagrin,negative
reckless,negative
infernal,negative
hoodwink,negative
belated,negative
humiliating,negative
inanely,negative
ardent,positive
humble,positive
ethical,positive
idealize,positive
distaste,negative
forlornly,negative
unwillingness,negative
blindingly,negative
world-famous,positive
vexing,negative
overbearing,negative
reprove,negative
regression,negative
dispiritedly,negative
exceeding,positive
pointlessly,negative
inevitable,negative
instigate,negative
snappishly,negative
smallish,negative
repudiation,negative
distressingly,negative
dent,negative
slow-moving,negative
inelegant,negative
protection,positive
lucrative,positive
joyfully,positive
guile,negative
backwood,negative
cave,negative
opinionated,negative
wrestle,negative
youthful,positive
wariness,negative
deceptively,negative
loneliness,negative
oddities,negative
lush,positive
I am thrilled about this new movie because I was waiting for it for past 1 month and the reviews are great too,positive
insufferably,negative
zeal,positive
malcontent,negative
trapped,negative
splendor,positive
feeblely,negative
thicker,negative
smudging,negative
gains,positive
invective,negative
exorbitantly,negative
conveniently,positive
stupidity,negative
sturdy,positive
foresight,positive
I am feeling jolly,positive
destructive,negative
absence,negative
advantages,positive
fragrant,positive
intefere,negative
bitter,negative
doomed,negative
grudgingly,negative
long-lasting,positive
provocative,negative
unjust,negative
enthral,positive
redeeming,positive
facetious,negative
sumptuously,positive
deformed,negative
lemon,negative
pros,positive
disintegrated,negative
time-consuming,negative
I am feeling famous,positive
acerbic,negative
stooge,negative
inconvenience,negative
wow,positive
low-cost,positive
creative,positive
eager,positive
well-bred,positive
timidly,negative
afford,positive
My teacher applauded me,positive
outshone,positive
freaks,negative
regard,positive
abruptly,negative
disloyalty,negative
stainless,positive
bellicose,negative
I am feeling glorious,positive
sensitive,positive
insolvent,negative
cheerless,negative
threatening,negative
exalted,positive
reaffirmation,positive
overstate,negative
indecency,negative
breakups,negative
struggled,negative
smudge,negative
absentee,negative
pimple,negative
short-lived,negative
meltdown,negative
carp,negative
onerously,negative
detest,negative
asininely,negative
obtrusive,negative
stunted,negative
torrent,negative
throb,negative
courage,positive
shake,negative
i can't do anything in life,negative
frugal,positive
contradict,negative
unavoidably,negative
bothersome,negative
incendiary,negative
fragmented,negative
imperious,negative
incitement,negative
injurious,negative
tortured,negative
conspire,negative
intolerablely,negative
eruptions,negative
untrue,negative
friggin,negative
cataclysmic,negative
holy,positive
bane,negative
annoyed,negative
beckoning,positive
bumpping,negative
falter,negative
dissident,negative
anarchistic,negative
jobless,negative
"I met my bestfriend after 1 year, we only used to talk on the phone for the past 1 year",positive
frenzied,negative
inhibit,negative
defeating,positive
extermination,negative
forswear,negative
wrinkle,negative
selfishly,negative
maturely,positive
worried,negative
sweaty,negative
endearing,positive
dissocial,negative
brainless,negative
soreness,negative
hedonistic,negative
disagreeably,negative
serenity,positive
buckle,negative
incompetent,negative
perversely,negative
illumine,positive
conspiracy,negative
stagnation,negative
creeps,negative
interests,positive
imprecision,negative
fatuity,negative
disillusions,negative
distinction,positive
refutes,negative
inaccuracies,negative
smudges,negative
vile,negative
dismally,negative
impressiveness,positive
embolden,positive
scenic,positive
whore,negative
agony,negative
fleer,negative
galls,negative
eased,positive
avalanche,negative
nebulously,negative
monstrosity,negative
lunaticism,negative
modesty,positive
shamelessly,negative
restless,negative
gladness,positive
sincerity,positive
tenacity,positive
defiant,negative
cronyism,negative
spectacular,positive
outbreak,negative
blatant,negative
inessential,negative
suck,negative
inferiority,negative
pamper,positive
bleakly,negative
exasperatingly,negative
coward,negative
upsetting,negative
crippling,negative
disable,negative
unaffected,positive
grumpish,negative
froze,negative
imaginary,negative
cruelest,negative
irragularity,negative
corrupt,negative
anemic,negative
prison,negative
unspecified,negative
gibe,negative
inconsolable,negative
I am feeling low,negative
upsets,negative
rebuff,negative
I am feeling dependent,negative
openness,positive
reasoned,positive
I am feeling amused,positive
inexpensive,positive
indifferent,negative
fatique,negative
smarter,positive
boiling,negative
hobble,negative
irrational,negative
forceful,negative
war-like,negative
verifiable,positive
brashness,negative
deter,negative
improper,negative
uneven,negative
insubstantially,negative
hampered,negative
unreasonably,negative
tantrum,negative
approve,positive
rattle,negative
complement,positive
detracting,negative
jealousness,negative
addicted,negative
unsafe,negative
viewable,positive
flirty,negative
cynical,negative
sinful,negative
balanced,positive
permissible,positive
energetic,positive
damnably,negative
I want to resign from my office as my boss sucks,negative
stifling,negative
unabashed,positive
craven,negative
uplift,positive
scuff,negative
abominate,negative
bombardment,negative
exceptional,positive
insanely,negative
fanatics,negative
rock-star,positive
impermissible,negative
complaints,negative
impedance,negative
manipulate,negative
energy-efficient,positive
loathly,negative
I'm so beautiful  that every model agency wants to hiire me and want to cast me as their lead,positive
retreated,negative
haywire,negative
stressful,negative
damning,negative
disturbed,negative
geezer,negative
depress,negative
absurdity,negative
best-selling,positive
drunk,negative
smouldering,negative
reverently,positive
gentle,positive
assail,negative
faint,negative
I cannot impress my hr and my boss with my work,negative
bereavement,negative
eschew,negative
dumps,negative
prisoner,negative
anarchist,negative
vouchsafe,positive
upscale,positive
effusion,positive
elegance,positive
irritation,negative
irony,negative
I am feeling gloomy,negative
exemplar,positive
adventurous,positive
brisk,positive
snazzy,positive
constructive,positive
utterly,negative
elate,positive
demolisher,negative
extinguish,negative
cackle,negative
I went on day long trip with my friiends it was amazing,positive
evasion,negative
offensively,negative
felicitate,positive
uproar,negative
superstition,negative
impure,negative
catastrophies,negative
deride,negative
simplifies,positive
honor,positive
stereotypically,negative
repetitive,negative
beneficial,positive
won,positive
bores,negative
ugliest,negative
benevolence,positive
unfulfilled,negative
bigotry,negative
feeble,negative
hideousness,negative
fastidiously,negative
I am feeling connected,positive
marveled,positive
toil,negative
complication,negative
foul,negative
overawe,negative
awards,positive
substandard,negative
inconsequentially,negative
reliable,positive
unfairly,negative
scandalously,negative
selfish,negative
inconsolably,negative
eulogize,positive
Me and mom had afight regarding the food,negative
bid-rigging,negative
veritable,positive
blister,negative
I am illogical as I cannot judge between a good person and a bad person,negative
jaundiced,negative
tarnishes,negative
sty,negative
recourses,negative
proud,positive
destruction,negative
liability,negative
hospitable,positive
assassinate,negative
dissatisfy,negative
inveigle,negative
second-class,negative
degenerately,negative
exagerates,negative
unimportant,negative
irritate,negative
gaiety,positive
slaughtered,negative
noteworthy,positive
heaven,positive
alienation,negative
contagious,negative
unbiased,positive
celebrated,positive
defrauding,negative
condemned,negative
hangs,negative
sloppy,negative
uproot,negative
syndrome,negative
fervent,positive
irreconcilable,negative
brittle,negative
problems,negative
doldrums,negative
rremediable,negative
brilliantly,positive
hostility,negative
opulent,positive
unkind,negative
excellently,positive
fail,negative
sporadic,negative
injustices,negative
pugnacious,negative
bewilderment,negative
whoooa,positive
finicky,negative
despicable,negative
dumbfounding,positive
It was an awesome day,positive
testy,negative
topnotch,positive
ire,negative
pique,negative
crashes,negative
exagerate,negative
my boss gave me promotion and appraisal today  for my hardwork,positive
magical,positive
ineffectual,negative
outrageous,negative
alarmingly,negative
I feel irritated when I do not get food for a large time interval,negative
incomparable,negative
imaginative,positive
unbelievably,negative
insincere,negative
productively,positive
niggle,negative
mislead,negative
cruelty,negative
raked,negative
masterful,positive
brat,negative
freakishly,negative
lamentably,negative
farfetched,negative
proper,positive
envious,negative
squealing,negative
bloodshed,negative
insulted,negative
revolutionize,positive
devastated,negative
nervous,negative
enrichment,positive
entranced,positive
conceited,negative
horrifying,negative
bombard,negative
I am feeling timid,negative
overzealous,negative
scarred,negative
complemented,positive
pretentious,negative
adulation,positive
inhospitality,negative
stalls,negative
I am feeling unhappy,negative
agreeableness,positive
anomaly,negative
overthrow,negative
glitter,positive
fidelity,positive
bugging,negative
enviousness,positive
afordable,positive
tepid,negative
lovelorn,negative
costlier,negative
anarchy,negative
ambivalence,negative
spoil,negative
breach,negative
unlicensed,negative
stale,negative
shirker,negative
snag,negative
I am feeling jealous,negative
groundbreaking,positive
ironic,negative
humiliate,negative
reassure,positive
flout,negative
freezes,negative
failing,negative
stupendously,positive
shambles,negative
traumatized,negative
fanatically,negative
dangerous,negative
I am feeling surprised,positive
non-confidence,negative
roomy,positive
recommended,positive
fabricate,negative
smell,negative
sickness,negative
improbability,negative
revolutionary,positive
apathetic,negative
retractable,positive
optimal,positive
penalty,negative
I enjoyed the whole day with my family,positive
inactive,negative
decrement,negative
devilish,negative
engrossing,positive
eventful,positive
gratifyingly,positive
affinity,positive
rockstars,positive
bewilder,negative
swamped,negative
jumpy,negative
warp,negative
distasteful,negative
jitter,negative
symptoms,negative
backaching,negative
I am feeling awkward,negative
subjected,negative
insidious,negative
dripped,negative
fav,positive
defeats,positive
altruistically,positive
frightening,negative
I had a bad time today,negative
illness,negative
salacious,negative
atrocity,negative
destiny,positive
ambitious,positive
problem-free,positive
spoiled,negative
decline,negative
snagged,negative
intimidate,negative
presumptuous,negative
perfidious,negative
skimpy,negative
unforgettable,positive
erroneous,negative
malevolence,negative
discontinued,negative
coherent,positive
timidness,negative
subordinate,negative
softer,positive
slow,negative
astonished,positive
relent,positive
imperfectly,negative
topple,negative
lapses,negative
savings,positive
boredom,negative
bless,positive
It was a bad day,negative
enjoyment,positive
back-woods,negative
oasis,positive
deference,positive
intrigue,positive
believable,positive
needless,negative
cheapest,positive
discompose,negative
foolishness,negative
leakages,negative
unproductive,negative
lover,positive
meritorious,positive
abusive,negative
tediously,negative
warped,negative
mordantly,negative
awesome,positive
volatile,negative
spellbindingly,positive
lament,negative
interrupt,negative
prate,negative
problem,negative
successfully,positive
I am gonna fail this exam,negative
I am feeling sick,negative
ineptly,negative
enhanced,positive
dullard,negative
mania,negative
quibble,negative
unreachable,negative
lean,positive
motley,negative
loose,negative
I am hopeless as everyone who trust in me I always tend to let them down,negative
tragic,negative
famous,positive
diabolically,negative
ailing,negative
loathing,negative
overdo,negative
gaffe,negative
prominent,positive
fortunate,positive
succeeded,positive
inconstant,negative
goading,negative
aspiration,positive
criticized,negative
entice,positive
rosy,positive
iniquitous,negative
pigs,negative
mortified,negative
inaptitude,negative
non-violent,positive
marginally,negative
bungle,negative
fanatical,negative
lurk,negative
stellarly,positive
imprecate,negative
extravagant,negative
exhilarating,positive
self-coup,negative
superbly,positive
illusions,negative
perfection,positive
knotted,negative
righteously,positive
weakness,negative
safe,positive
stumbles,negative
last-ditch,negative
god-awful,negative
dotingly,positive
imprudence,negative
nag,negative
demeaning,negative
smilingly,positive
accurate,positive
delighted,positive
incongruous,negative
obnoxious,negative
I feel rejected by everyone in my office especially by my boss,negative
dead-on,positive
garish,negative
flighty,negative
brimstone,negative
nimble,positive
horrible,negative
cuplrit,negative
tout,negative
glamorous,positive
incessantly,negative
competitive,positive
loyalty,positive
fancier,positive
trap,negative
richly,positive
steal,negative
regretfully,negative
amusingly,positive
sagacity,positive
boring,negative
dings,negative
inflame,negative
gracefully,positive
annihilation,negative
abused,negative
weaknesses,negative
endorse,positive
baffled,negative
offence,negative
disappointment,negative
everlasting,positive
thrills,positive
bumping,negative
I am very useless as I am not able to pass the exam,negative
distastefully,negative
tyrannically,negative
ranting,negative
lewdly,negative
sueing,negative
cheery,positive
eagerness,positive
overshadow,negative
steadfast,positive
cherished,positive
readily,positive
pep,positive
vulnerable,negative
ill-natured,negative
resigned,negative
beauteous,positive
moot,negative
unquestionable,positive
wealthy,positive
viciousness,negative
thrive,positive
I am feeling confident after presenting my speech in front of the whole auditorium,positive
sully,negative
disadvantaged,negative
doubt,negative
macabre,negative
perfidity,negative
I got a pet,positive
anti-occupation,negative
bribery,negative
I am feeling ashamed,negative
fidgety,negative
acridly,negative
silent,positive
disbelief,negative
thoughtful,positive
heroic,positive
tempting,positive
profuse,positive
mourner,negative
accessable,positive
loses,negative
confront,negative
instable,negative
disintegrate,negative
bore,negative
allergy,negative
excuse,negative
sweet,positive
luxuriant,positive
sharpest,positive
niggles,negative
solace,positive
offensiveness,negative
sensibly,positive
scandal,negative
freedoms,positive
dissolution,negative
calm,positive
prefers,positive
water-down,negative
unprepared,negative
inequitable,negative
wary,negative
torment,negative
decadence,negative
tenuously,negative
emergency,negative
calumniate,negative
failures,negative
diligence,positive
avid,positive
terror,negative
sillily,negative
panicky,negative
gratitude,positive
wanton,negative
infringements,negative
tumbled,negative
over-balanced,negative
damn,negative
spurn,negative
trick,negative
wily,negative
thorny,negative
haters,negative
I am feeling underestimated,negative
purify,positive
lack,negative
tumbles,negative
combative,negative
personages,positive
improve,positive
absent-minded,negative
selective,positive
traumatic,negative
pry,negative
rubbish,negative
uncollectible,negative
fortuitous,positive
recklessly,negative
impair,negative
squander,negative
interesting,positive
repugn,negative
madden,negative
delicate,positive
agonizing,negative
ramshackle,negative
enviously,positive
intricate,positive
orderly,positive
ardor,positive
obscured,negative
devastates,negative
enrage,negative
delightful,positive
leaky,negative
fascinate,positive
praise,positive
galore,positive
I feel like,negative
silly,negative
over-priced,negative
embarrassment,negative
hallmark,positive
adulatory,positive
cliche,negative
unquestionably,positive
I feel very cheerful today as I completed the task with 5 hours deadline in just 1 hour ,positive
rumors,negative
faithfulness,positive
propitiously,positive
damage,negative
exalt,positive
confined,negative
I am a disappointment for my family as I cannot match the capabilities of my brother,negative
I had a wonderful trip,positive
invigorate,positive
reclaim,positive
bully,negative
spellbind,positive
trusty,positive
sloppily,negative
untruthful,negative
forbidden,negative
hatred,negative
wobbles,negative
heckled,negative
adoring,positive
grin,positive
misguide,negative
disrespectful,negative
fears,negative
I met my fiance today and i feel so good,positive
betrays,negative
poor,negative
redundancy,negative
I am feeling crazy,positive
anti-us,negative
comfort,positive
deadbeat,negative
my parents love me because I always make them feel proud,positive
gladden,positive
implicate,negative
incapable,negative
uprising,negative
shark,negative
spews,negative
altercation,negative
vibrantly,positive
disgustingly,negative
incoherently,negative
indoctrinate,negative
maledict,negative
reverent,positive
accomplishments,positive
punishable,negative
smile,positive
vexingly,negative
advanced,positive
I am happy because I got a promotion in my job due to the international project which I completed got global recognition,positive
disagreed,negative
excel,positive
radicalization,negative
huckster,negative
hardliner,negative
horrifies,negative
ludicrous,negative
hard-line,negative
desert,negative
dissemble,negative
sabotage,negative
user-replaceable,positive
grudges,negative
lucidly,positive
slander,negative
senselessly,negative
frail,negative
invidiously,negative
outrage,negative
indolent,negative
manageable,positive
tangles,negative
effectiveness,positive
valiantly,positive
discordance,negative
harmful,negative
villainously,negative
ecstatically,positive
well-intentioned,positive
enhancement,positive
tantalizingly,positive
chasten,negative
grumpiest,negative
unseemly,negative
oppression,negative
secure,positive
subjection,negative
great,positive
enthrall,positive
invaluable,positive
backwoods,negative
insinuating,negative
Today I helped a blind guy in crossing a traffic signal that elevated my mood and made me proud of my myself,positive
examplar,positive
I am a disappointment for my family as I cannot match the capabilities of my sister,negative
sneeringly,negative
untenable,negative
infuriated,negative
jeopardize,negative
hawkish,negative
belittle,negative
cringes,negative
mortify,negative
warning,negative
anti-,negative
romanticize,positive
injure,negative
tyrant,negative
alienated,negative
protests,negative
slime,negative
scariest,negative
dislikes,negative
assurances,positive
oversight,negative
simplified,positive
disadvantage,negative
capsize,negative
dumb,negative
deficiency,negative
err-free,positive
sadly,negative
disaffected,negative
available,positive
debasement,negative
cataclysmal,negative
fearsome,negative
taxing,negative
restful,positive
futility,negative
fantastic,positive
breakthroughs,positive
acclaim,positive
darkness,negative
pre-eminent,positive
overplay,negative
infiltrator,negative
misaligned,negative
smuttiest,negative
disillusionment,negative
declines,negative
stuttering,negative
injustice,negative
gossip,negative
flourishing,positive
repulsing,negative
judder,negative
calumniously,negative
I do not have friends,negative
delinquent,negative
exhaust,negative
dim,negative
crime,negative
interferes,negative
mournful,negative
uneasy,negative
idiot,negative
detachable,positive
well-behaved,positive
terrific,positive
dawn,positive
hassled,negative
boil,negative
serene,positive
wrangle,negative
farcical-yet-provocative,negative
despondent,negative
inhuman,negative
underpowered,negative
shadowy,negative
heroize,positive
panicking,negative
I want to go back to play,positive
kindly,positive
tricked,negative
dreadfully,negative
undercut,negative
deviate,negative
impediment,negative
I will never get anything good in my life,negative
busts,negative
scuffs,negative
creaking,negative
agilely,positive
reputation,positive
hostage,negative
bother,negative
lost,negative
fabrication,negative
colorful,positive
shocking,negative
deficiencies,negative
sloow,negative
exaggeration,negative
bias,negative
tragedy,negative
grumble,negative
disturbingly,negative
warmly,positive
cheating,negative
hale,positive
defy,negative
I am feeling bullied,negative
unwise,negative
promoter,positive
bliss,positive
temptation,negative
irresolute,negative
